sample_id,split,label,score_mean,score_t0.3,score_t0.5,score_t0.7,score_t0.9,z_t0.3,z_t0.5,z_t0.7,z_t0.9,z_overall
krPRThe7R4g_003203_nonood,heldout,normal,0.2367757856845855,0.3914147913455963,0.2580176293849945,0.1786649972200393,0.119005762040615,0.5232279848382109,0.4091066971853129,0.3135578781564493,-0.0064019549553746,0.3550169044317021
qzMjfBx1KI0_003899_nonood,heldout,normal,0.2321755588054657,0.3583316802978515,0.2494848519563675,0.1855660527944564,0.1353196501731872,0.2314091060960922,0.3169411675629665,0.4072850418836245,0.2434160472209825,0.3005156481958071
Zpo0kwg1XEQ_001299_nonood,heldout,normal,0.2029445320367813,0.3253971636295318,0.2179314643144607,0.1456762701272964,0.1227732077240943,-0.0590990541610376,-0.0238780683447813,-0.1344808011486049,0.0512897336418759,-0.045799375349989
3sGShQb_HwU_000905_nonood,heldout,normal,0.1863618195056915,0.2967177331447601,0.1913736760616302,0.1434556990861892,0.1139001473784446,-0.3120740308780211,-0.310738078510792,-0.1646396403715826,-0.084585306736433,-0.2422633082149791
P5MjgFmqouA_001596_nonood,heldout,normal,0.2730723619461059,0.4367692470550537,0.2957730591297149,0.2067529410123825,0.152994155883789,0.923289707932876,0.8169163708405838,0.6950362300109064,0.5140694727070494,0.7850411304745143
2SAby_5t94M_000905_nonood,heldout,normal,0.1281101405620575,0.230083093047142,0.131954938173294,0.0886726304888725,0.061729896813631,-0.89984360099519,-0.9525407614914808,-0.9086796766426252,-0.8834793326872404,-0.9324009391845096
Hx8FMhmdOQU_001889_nonood,heldout,normal,0.2184757143259048,0.3649101853370666,0.2367001324892044,0.1544836908578872,0.117808848619461,0.2894366586310581,0.178848916754802,-0.0148622071627233,-0.0247305420598649,0.1382065373644458
kN-2mc561GY_003565_nonood,heldout,normal,0.2073109745979309,0.365240603685379,0.2201078236103058,0.1451651453971862,0.0987303406000137,0.2923512065337988,-0.0003704462571448,-0.1414226770322944,-0.3168837503687941,0.0059321177084721
D_pyFV4nKd4_000776_nonood,heldout,normal,0.191670760512352,0.3397084772586822,0.1969288736581802,0.1261326521635055,0.1039130091667175,0.0671379097858628,-0.2507344357431871,-0.3999138006311972,-0.2375204559318836,-0.1793655508329308
T89zSiaMNgM_003762_nonood,heldout,normal,0.2678112387657165,0.4245761930942535,0.2865698337554931,0.1974153518676757,0.1626835316419601,0.8157374487107064,0.7175090971897751,0.5682171170294907,0.662444922788101,0.722709895499018
a_VxrUq9PmA_004850_nonood,heldout,normal,0.2076177597045898,0.3316278457641601,0.2210120856761932,0.1558342725038528,0.1219968125224113,-0.004139571308843,0.0093968063071028,0.0034808109007162,0.0394006305287744,0.009566758813515
1u69z-wsDIc_004094_nonood,heldout,normal,0.1235655844211578,0.2192554175853729,0.1170655265450477,0.0796693414449691,0.0782720521092414,-0.9953521554378776,-1.113366532462429,-1.030958469676732,-0.6301658274052311,-0.9862426355229684
HzVbo46kkBA_001118_nonood,heldout,normal,0.0222170706838369,0.0430508255958557,0.0236631855368614,0.0133304912596941,0.0088237803429365,-2.549614279981892,-2.1222380633317925,-1.9319441530608297,-1.6936418281152794,-2.1869706564378295
O9uvBFovKj8_004388_nonood,heldout,normal,0.3534499704837799,0.5110926032066345,0.3776166141033172,0.2771178781986236,0.2479728013277053,1.5788797588565766,1.700937389015837,1.6507024925397784,1.9684974583226809,1.7373160407455566
OWtbKblBOKI_000061_nonood,heldout,normal,0.3251219689846039,0.4699908494949341,0.3585496544837951,0.277080237865448,0.1948671042919159,1.2163301889212317,1.4949884531247586,1.6501912777506418,1.1552787437002925,1.4016996224847198
Nc9SDBksPPA_000171_nonood,heldout,normal,0.2561784386634826,0.4203154742717743,0.2813180685043335,0.1914440244436264,0.13163623213768,0.7781545808958588,0.6607829338890121,0.4871171204989291,0.1870110916804613,0.5848901236111355
ieP36TLihGM_001859_nonood,heldout,normal,0.2691347897052765,0.403866559267044,0.2923557758331299,0.2182622402906417,0.1620546281337738,0.6330623032597744,0.7800050922406407,0.8513505744189466,0.6528143910166397,0.7383906849021747
IOoVklIZLMw_000945_nonood,heldout,normal,0.3610761761665344,0.5282062292098999,0.3899630308151245,0.2803747355937958,0.2457607537508011,1.7298353066669845,1.8342953776309232,1.694935726575015,1.9346239082596568,1.8276676257749829
t4Cvbdtebk0_000075_nonood,heldout,normal,0.2993055582046509,0.457550048828125,0.3211373388767242,0.2419214248657226,0.1766134947538375,1.1065926102514678,1.0908848759289225,1.1726794265644926,0.8757573794336453,1.0958393125517971
Izf9l3VWQuo_001889_nonood,heldout,normal,0.1661034077405929,0.2726732194423675,0.1641767770051956,0.1111557334661483,0.1164079010486602,-0.5241654215094961,-0.6045013492146804,-0.6033238580838007,-0.0461835470361898,-0.4822751423167724
Tsl84N96WM8_002572_nonood,heldout,normal,0.2326461672782898,0.3841148018836975,0.2498801052570343,0.1752917915582656,0.1212979704141616,0.458836376185499,0.3212104374572826,0.2677444520889156,0.0286991142562015,0.3060911890632777
DyzL2sahobA_004994_nonood,heldout,normal,0.287121444940567,0.4433123767375946,0.3168686926364898,0.2284471243619918,0.1598576158285141,0.9810052221923344,1.044777726786402,0.989677282065894,0.6191710792324296,0.9514878497952336
DSBGS6aRzgc_003585_nonood,heldout,normal,0.2791830897331238,0.4330718219280243,0.3034459352493286,0.218316912651062,0.1618975847959518,0.8906755304679603,0.8997938040334755,0.8520931108644524,0.6504095533353348,0.8574380686385271
JV0D-YkWHD8_001531_nonood,heldout,normal,0.1385274231433868,0.2276647835969925,0.1421777009963989,0.1055842041969299,0.0786830559372901,-0.9211749791468892,-0.8421211053272277,-0.6789939683148561,-0.6238720392919636,-0.8089820291686214
V3--0ubJkNE_005532_nonood,heldout,normal,0.2240189164876938,0.3383787870407104,0.2332151234149933,0.1765290945768356,0.1479526907205581,0.0554090035193724,0.1412061082144374,0.2845489686373038,0.4368684557032955,0.2038797072592393
xjbbH74SwTg_004146_nonood,heldout,normal,0.1458682268857956,0.2557165622711181,0.1504401713609695,0.0999066457152366,0.0774095579981803,-0.6737363816222638,-0.7528752573592792,-0.756104121630674,-0.6433733812368623,-0.7220117478639327
vdLn-qswnRo_005373_nonood,heldout,normal,0.1506232172250747,0.2543826997280121,0.1633892357349395,0.110278345644474,0.0744426026940345,-0.6855020910551995,-0.6130078594195632,-0.6152401614851455,-0.6888069921949012,-0.6656769292364995
VxWJchENocA_002023_nonood,heldout,normal,0.1921127140522003,0.3200155198574066,0.2030263096094131,0.1416025012731552,0.1038064882159233,-0.1065693555212881,-0.1848738858244323,-0.1898089746811023,-0.2391516336683672,-0.1741294997092432
t_bCDlNOhJc_004355_nonood,heldout,normal,0.1831289529800415,0.3077555298805237,0.1902261525392532,0.1345734745264053,0.0999606922268867,-0.2147120426851506,-0.3231328836113152,-0.2852741877388844,-0.2980431169831722,-0.2805647423661163
kjVywUi1WK4_003175_nonood,heldout,normal,0.2494944334030151,0.3957725167274475,0.2685565948486328,0.1910290271043777,0.1426195949316024,0.5616665262729219,0.5229417692650185,0.4814808054247106,0.355201637555144,0.5057012720707279
kEcbnTbgi4A_001700_nonood,heldout,normal,0.2391623705625534,0.3571440279483795,0.2551199197769165,0.1997338682413101,0.1446516811847686,0.2209330847673186,0.3778075167069532,0.5997062075624449,0.3863194019955195,0.3832920041997661
Eq7_uD2yN5Y_003719_nonood,heldout,normal,0.2378647029399871,0.4056105017662048,0.26237753033638,0.1718370616436004,0.111633688211441,0.6484452381948042,0.4561995205533863,0.2208237987405552,-0.1192920729293833,0.3679178677789026
ujVRDgGVzlQ_004489_nonood,heldout,normal,0.2245163023471832,0.3528340458869934,0.2389494329690933,0.167831465601921,0.1384502798318863,0.1829156767086507,0.2031444022216149,0.1664215189769811,0.2913560380150071,0.2097724936127094
zRZ9PJguIfE_005031_nonood,heldout,normal,0.3460034132003784,0.4982203543186188,0.370047777891159,0.2810088098049164,0.2347367107868194,1.465336469896565,1.6191837274497929,1.7035474493411946,1.7658104183798524,1.649092842794157
nvVk7L3GrJQ_003405_nonood,heldout,normal,0.1515443325042724,0.2457354068756103,0.1625699698925018,0.1148881912231445,0.0829837843775749,-0.7617779679127553,-0.6218570378847651,-0.5526312248304743,-0.5580140796122074,-0.6547640022932185
X8VgGb1fJDU_003014_nonood,heldout,normal,0.2208583652973175,0.3495032489299774,0.2425462454557418,0.1690298318862915,0.1223541796207428,0.1535354460552725,0.2419948387362316,0.1826972135760364,0.0448730681122151,0.1664350301162024
PEwiwzyTjX0_001067_nonood,heldout,normal,0.1984352320432663,0.336092859506607,0.2111832797527313,0.1384005099534988,0.1080642640590667,0.0352453372630436,-0.0967675828461818,-0.2332970413158619,-0.1739514161478653,-0.0992233739589676
eN6y6-4C1Rc_000387_nonood,heldout,normal,0.1822009086608886,0.3065246641635895,0.1868900656700134,0.1213989406824112,0.1139900013804435,-0.2255692396663982,-0.3591671310461644,-0.4642050306091865,-0.0832093534943547,-0.291559761213121
uO2zGO5ydBc_001888_nonood,heldout,normal,0.2240644693374633,0.3780079185962677,0.2442492991685867,0.1641847044229507,0.1098159402608871,0.404968895857701,0.2603901207803936,0.116892779726953,-0.1471276298350897,0.2044193953230676
3u_CIo9IaWo_000332_nonood,heldout,normal,0.2179518789052963,0.3796574771404266,0.2351667135953903,0.1540189236402511,0.1029644235968589,0.419519290591776,0.1622859200443591,-0.0211744752835438,-0.2520463463897358,0.1320003894430016
vZSr9dhRxlE_000763_nonood,heldout,normal,0.0062690777704119,0.0139335291460156,0.0058511747047305,0.003156658494845,0.0021349478047341,-2.8064515765025115,-2.3146318560580217,-2.0701207666239587,-1.796069328414834,-2.3759147392107915
W6YrlYyWguc_003546_nonood,heldout,normal,0.2847281992435455,0.4491507112979889,0.315437912940979,0.2181025743484497,0.1562216281890869,1.0325038929998296,1.0293233721506838,0.8491820603787236,0.5634924353286468,0.9231338358745592
