sample_id,split,label,score_mean,score_t0.3,score_t0.5,score_t0.7,score_t0.9
PfJ2CudpCgE_000663_nonood,calib,normal,0.11785882711410522,0.2194773107767105,0.12049094587564468,0.07554566860198975,0.05592138320207596
PfJ2CudpCgE_000663_ood,ood,anomaly,0.17972387373447418,0.30760329961776733,0.18604032695293427,0.12595677375793457,0.09929507225751877
Eq7_uD2yN5Y_000377_nonood,calib,normal,0.40040433406829834,0.5798422694206238,0.4475178122520447,0.3318682909011841,0.2423890382051468
Eq7_uD2yN5Y_000377_ood,ood,anomaly,0.5097123384475708,0.5923803448677063,0.47961416840553284,0.40271687507629395,0.5641379952430725
sUbP4j8rAic_002733_nonood,calib,normal,0.3910459876060486,0.5530356764793396,0.4333506226539612,0.33613935112953186,0.2416583150625229
sUbP4j8rAic_002733_ood,ood,anomaly,0.2928028106689453,0.4485856294631958,0.31197062134742737,0.21660859882831573,0.19404636323451996
r6_ZhT7rmhM_000200_nonood,calib,normal,0.14700937271118164,0.2682880759239197,0.15521244704723358,0.09591203182935715,0.06862490624189377
r6_ZhT7rmhM_000200_ood,ood,anomaly,0.123347207903862,0.2251308262348175,0.1257573813199997,0.079532191157341,0.06296846270561218
HzVbo46kkBA_005648_nonood,calib,normal,0.2331499308347702,0.39687034487724304,0.23060369491577148,0.1553788185119629,0.1497468501329422
HzVbo46kkBA_005648_ood,ood,anomaly,0.4160531163215637,0.6172143220901489,0.46580785512924194,0.33720430731773376,0.24398602545261383
88LcRU7uEFE_000370_nonood,calib,normal,0.3076743483543396,0.37597227096557617,0.2853794991970062,0.24054935574531555,0.32879629731178284
88LcRU7uEFE_000370_ood,ood,anomaly,0.30530253052711487,0.42613282799720764,0.32094693183898926,0.23885822296142578,0.23527216911315918
9Q0FCoNxL8I_000927_nonood,calib,normal,0.057597726583480835,0.1186734288930893,0.057957105338573456,0.03298000991344452,0.020780373364686966
9Q0FCoNxL8I_000927_ood,ood,anomaly,0.04088946804404259,0.08202280849218369,0.04101959243416786,0.0246437881141901,0.0158716831356287
3tEZvtQZ18Q_005180_nonood,calib,normal,0.21329262852668762,0.37783682346343994,0.22743071615695953,0.1437557488679886,0.10414720326662064
3tEZvtQZ18Q_005180_ood,ood,anomaly,0.12365730106830597,0.24652740359306335,0.12685929238796234,0.07324133068323135,0.04800117388367653
3tEZvtQZ18Q_001364_nonood,calib,normal,0.24220022559165955,0.4008524715900421,0.26977887749671936,0.17688022553920746,0.12128933519124985
3tEZvtQZ18Q_001364_ood,ood,anomaly,0.329681396484375,0.45606184005737305,0.3348631262779236,0.2655600607395172,0.26224061846733093
pQdl0apLT70_002510_nonood,calib,normal,0.19345976412296295,0.33081093430519104,0.2028084546327591,0.13568724691867828,0.104532390832901
pQdl0apLT70_002510_ood,ood,anomaly,0.1869659572839737,0.30543047189712524,0.19065308570861816,0.13457852602005005,0.11720175296068192
